Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
wireless keyboard logitech,wireless keyboard logitech,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
singapore stores online,singapore stores online,Platform Terms (Lazada / Shopee),,,,Platform Terms (Lazada / Shopee)
foosball tables,foosball tables,Hobbies & Books,Hobbies & Collections,Mom & Baby,Mom & Baby,Hobbies & Books
iphone plus 8,iphone plus 8,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
realme 6,realme 6,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
popping boba,popping boba,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
ceiling downlights,ceiling downlights,Home & Living,Home & Living,Home & Living,,Home & Living
xiaomi poco x3,xiaomi poco x3,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
kitkat ice cream,kitkat ice cream,Food & Beverages,Food & Beverages,,,Food & Beverages
stainless steel dish rack,stainless steel dish rack,Home & Living,Home & Living,Home & Living,,Home & Living
ikea online,ikea online,Home & Living,Mobile & Gadgets,Mobile & Gadgets,,Home & Living
ipsa singapore,ipsa singapore,Beauty & Personal Care,,,,Beauty & Personal Care
tricycle singapore,tricycle singapore,Sports & Outdoors,"Toys, Kids & Babies","Toys, Kids & Babies",,Sports & Outdoors
designer t shirt,designer t shirt,Men's Wear,Men's Wear,,,Men's Wear
smile makers,smile makers,Health & Wellness,Miscellaneous,,,Health & Wellness
dessini cookware,dessini cookware,Home & Living,Home & Living,Home & Living,,Home & Living
sheng siong online shopping,sheng siong online shopping,Platform Terms (Lazada / Shopee),,,,Platform Terms (Lazada / Shopee)
g military,g military,Sports & Outdoors,Watches,Sports & Outdoors,,Sports & Outdoors
cycling jerseys,cycling jerseys,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
mooncake box,mooncake box,Home & Living,Home & Living,Home & Living,,Home & Living
cornell steamer,cornell steamer,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
ga 2100,ga 2100,Watches,Watches,Watches,,Watches
xiaomi smart watch,xiaomi smart watch,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
durian mooncake 2021,durian mooncake 2021,Food & Beverages,,,,Food & Beverages
ceramic cooker,ceramic cooker,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
popmart sg,popmart sg,Hobbies & Books,,Hobbies & Books,,Hobbies & Books
best lo hei singapore 2022,best lo hei singapore 2022,Food & Beverages,,,,Food & Beverages
led room lights,led room lights,Home & Living,Home & Living,Home & Living,,Home & Living
weatherstrip,weatherstrip,Home & Living,Home & Living,Home & Living,,Home & Living
cover car,cover car,Automotive,Automotive,Automotive,,Automotive
jackbikes,jackbikes,Sports & Outdoors,Sports & Outdoors,Motorcycles,Motorcycles,Sports & Outdoors
sofa on sale,sofa on sale,Home & Living,Home & Living,Home & Living,,Home & Living
root beer bundaberg,root beer bundaberg,Food & Beverages,Food & Beverages,,,Food & Beverages
seafood online,seafood online,Food & Beverages,,Food & Beverages,,Food & Beverages
www.transtar.travel vtl,www.transtar.travel vtl,"Dining, Travel & Services",,,,"Dining, Travel & Services"
sticker label printer,sticker label printer,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
weather strip,weather strip,Home & Living,Home & Living,Home & Living,,Home & Living
akatsuki rings,akatsuki rings,Hobbies & Books,Hobbies & Books,Hobbies & Books,,Hobbies & Books
fortable table,fortable table,Home & Living,Home & Living,Home & Living,,Home & Living
chair for back support,chair for back support,Home & Living,Home & Living,Home & Living,,Home & Living
ros syrup,ros syrup,Food & Beverages,,Food & Beverages,,Food & Beverages
lavalier microphones,lavalier microphones,Mobile & Gadgets,,Mobile & Gadgets,,Mobile & Gadgets
door magnetic stopper,door magnetic stopper,Home & Living,Home & Living,Home Appliances,,Home & Living
tjhyml,tjhyml,Health & Wellness,Health & Wellness,Beauty & Personal Care,,Health & Wellness
durian cake singapore,durian cake singapore,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
toy hamster,toy hamster,Pet Food & Supplies,Pet Food & Supplies,Pet Food & Supplies,,Pet Food & Supplies
vertical stand for laptop,vertical stand for laptop,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
electric lock,electric lock,Home & Living,Home & Living,Home & Living,,Home & Living
juice blender portable,juice blender portable,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
christmas ham singapore,christmas ham singapore,Food & Beverages,,,,Food & Beverages
hair bands for men,hair bands for men,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
electric saws,electric saws,Home & Living,Home Appliances,Home & Living,,Home & Living
galaxy lights projector,galaxy lights projector,Home & Living,Home & Living,Home & Living,,Home & Living
corner protectors,corner protectors,Home & Living,"Toys, Kids & Babies","Toys, Kids & Babies",,Home & Living
vernier caliper digital,vernier caliper digital,Home & Living,Home Appliances,,,Home & Living
arcylic panel,arcylic panel,Home & Living,Miscellaneous,Home & Living,,Home & Living
holicks,holicks,Food & Beverages,Women's Apparel,,,Food & Beverages
led round ceiling lights,led round ceiling lights,Home & Living,Home & Living,,,Home & Living
dumbbell 5 kg,dumbbell 5 kg,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
kombucha remedy,kombucha remedy,Food & Beverages,Food & Beverages,,,Food & Beverages
mirror dressing table,mirror dressing table,Home & Living,Home & Living,Home & Living,,Home & Living
handlebar bag,handlebar bag,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
newborn goft,newborn goft,"Toys, Kids & Babies",,"Toys, Kids & Babies",,"Toys, Kids & Babies"
bedsheet,bedsheet,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
vacuum wet and dry cleaner,vacuum wet and dry cleaner,Home Appliances,Home Appliances,,,Home Appliances
garden hose,garden hose,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
water vacuum cleaner,water vacuum cleaner,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
panasonic microwave oven,panasonic microwave oven,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
oppo a74,oppo a74,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
wagon stroller,wagon stroller,"Toys, Kids & Babies","Toys, Kids & Babies",Pet Food & Supplies,,"Toys, Kids & Babies"
pim's,pim's,Food & Beverages,,Health & Wellness,,Food & Beverages
money counter machine,money counter machine,Home & Living,Home & Living,,,Home & Living
champion sport,champion sport,Sports & Outdoors,Men's Wear,,,Sports & Outdoors
feng shui water fountain,feng shui water fountain,Home & Living,Home & Living,Home & Living,,Home & Living
ssh store,ssh store,Platform Terms (Lazada / Shopee),Women Clothes,Women Clothes,Women Clothes,Platform Terms (Lazada / Shopee)
vacuum cleaner with water,vacuum cleaner with water,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
formal dress for men,formal dress for men,Men's Bags,Men's Wear,Men's Wear,,Men's Bags
coach backpack,coach backpack,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
hair serums,hair serums,Beauty & Personal Care,,Beauty & Personal Care,,Beauty & Personal Care
bibiks,bibiks,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
where to watch champions league final singapore,where to watch champions league final singapore,Lifestyle,,,,Lifestyle
bean bag chair,bean bag chair,Home & Living,Home & Living,Home & Living,,Home & Living
iphone 14,iphone 14,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
yale singapore lock,yale singapore lock,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
ipl home device,ipl home device,Beauty & Personal Care,,Beauty & Personal Care,,Beauty & Personal Care
men's swimming trunks,men's swimming trunks,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
tiger orchid brew,tiger orchid brew,Food & Beverages,Food & Beverages,Home & Living,Food & Beverages,Food & Beverages
long cardigans,long cardigans,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
2 pin plug adapter,2 pin plug adapter,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
contact lens case,contact lens case,Home & Living,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,Home & Living
powered usb hub,powered usb hub,Computers & Peripherals,Computers & Peripherals,,,Computers & Peripherals
secretlab chair,secretlab chair,Home & Living,Home & Living,,,Home & Living
rgb led strip,rgb led strip,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
guardian online store,guardian online store,Health & Wellness,Mom & Baby,Men Clothes,Men Clothes,Health & Wellness
asics badminton shoe,asics badminton shoe,Sports & Outdoors,,Men's Shoes,,Sports & Outdoors
big water bottle,big water bottle,Sports & Outdoors,Home & Living,Home & Living,,Sports & Outdoors
heng heng jewelry,heng heng jewelry,Jewellery & Accessories,,Home & Living,,Jewellery & Accessories
counter sunk screw,counter sunk screw,Home & Living,Home & Living,Home & Living,,Home & Living
rk987,rk987,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
lights for false ceiling,lights for false ceiling,Home & Living,Home & Living,Home & Living,,Home & Living
iwatch 7,iwatch 7,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
best love letters singapore 2021,best love letters singapore 2021,Food & Beverages,,,,Food & Beverages
new balance sandals,new balance sandals,Men's Shoes,Men's Shoes,Men's Shoes,,Men's Shoes
custom keychain,custom keychain,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
collapsable table,collapsable table,Home & Living,Home & Living,Home & Living,,Home & Living
lazy sofa chair,lazy sofa chair,Home & Living,Home & Living,Home & Living,,Home & Living
cctv wireless camera,cctv wireless camera,Cameras & Drones,Cameras & Drones,Cameras & Drones,Cameras & Drones,Cameras & Drones
wet wipe for floor,wet wipe for floor,Home & Living,Home & Living,Beauty & Personal Care,,Home & Living
sony stores singapore,sony stores singapore,Mobile & Gadgets,,,,Mobile & Gadgets
slimming cream,slimming cream,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
xiaomi standing fan,xiaomi standing fan,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
aspire light,aspire light,Home & Living,Home & Living,Home & Living,,Home & Living
miffy,miffy,Others,Home & Living,Home & Living,Home & Living,Others
xxxtentacion hoodie,xxxtentacion hoodie,Men's Wear,Men's Wear,Men's Wear,,Men's Wear
projectors,projectors,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
prism tv remote control,prism tv remote control,Home Appliances,,Home Appliances,,Home Appliances
lindt chocolate,lindt chocolate,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
samsung s22 price singapore,samsung s22 price singapore,Mobile & Gadgets,,,,Mobile & Gadgets
luxffinity,luxffinity,Beauty & Personal Care,Stationery,Beauty,Beauty,Beauty & Personal Care
compression t shirt,compression t shirt,Men's Wear,Sports & Outdoors,Sports & Outdoors,,Men's Wear
singapore potato chips,singapore potato chips,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
clutch bag men,clutch bag men,Men's Bags,Men's Bags,Men's Bags,,Men's Bags
gamewerkz,gamewerkz,Video Games,,Video Games,,Video Games
xiaomi cctv,xiaomi cctv,Cameras & Drones,Cameras & Drones,Cameras & Drones,Cameras & Drones,Cameras & Drones
neck fan singapore,neck fan singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
garbage bags,garbage bags,Home & Living,Home & Living,Home & Living,,Home & Living
sling bags singapore,sling bags singapore,Women's Bags,Women Bags,Women Bags,,Women's Bags
super vision,super vision,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
the north face windbreaker,the north face windbreaker,Sports & Outdoors,Men's Wear,,,Sports & Outdoors
idrive i12 pro,idrive i12 pro,Automotive,Automotive,Automotive,,Automotive
bridesmaid gifts,bridesmaid gifts,Home & Living,Home & Living,Women's Bags,,Home & Living
white pant,white pant,Men's Wear,Women's Apparel,Women's Apparel,,Men's Wear
everlane sg,everlane sg,Women's Shoes,Women Clothes,Women Clothes,Women Clothes,Women's Shoes
formosa delights,formosa delights,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
butcher paper,butcher paper,Home & Living,Home & Living,,,Home & Living
toys for boys,toys for boys,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
luggage wheels replacement,luggage wheels replacement,Travel & Luggage,Travel & Luggage,Home & Living,,Travel & Luggage
korean branded bags,korean branded bags,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
bball court near me,bball court near me,Sports & Outdoors,,,,Sports & Outdoors
shopee.comsg,shopee.comsg,Platform Terms (Lazada / Shopee),,,,Platform Terms (Lazada / Shopee)
daikin aircon remote control,daikin aircon remote control,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
acai neat me,acai neat me,Food & Beverages,,,,Food & Beverages
cow and farmers,cow and farmers,Home & Living,Pets,Mom & Baby,Mom & Baby,Home & Living
modemn,modemn,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
skullpanda,skullpanda,"Toys, Kids & Babies",Hobbies & Books,Hobbies & Books,,"Toys, Kids & Babies"
natural farm,natural farm,Pet Food & Supplies,Food & Beverages,,,Pet Food & Supplies
hair straightener for men,hair straightener for men,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
kodak film rolls,kodak film rolls,Cameras & Drones,Cameras & Drones,,,Cameras & Drones
lv tote bag,lv tote bag,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
mlb cap,mlb cap,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
casio tank,casio tank,Watches,,Women's Apparel,,Watches
name sticker,name sticker,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
farewell gift for colleagues sg,farewell gift for colleagues sg,Lifestyle,,,,Lifestyle
go pro 11,go pro 11,Cameras & Drones,Mobile & Gadgets,Cameras & Drones,Cameras & Drones,Cameras & Drones
microphone with speaker portable,microphone with speaker portable,Mobile & Gadgets,Audio,Audio,Audio,Mobile & Gadgets
small freezers,small freezers,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
extension socket,extension socket,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
handheld fan,handheld fan,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
vented dryer,vented dryer,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
cake storage,cake storage,Home & Living,Home & Living,Home & Living,,Home & Living
wood cutter,wood cutter,Home & Living,Home & Living,Home Appliances,,Home & Living
sparkling candles,sparkling candles,Home & Living,Home & Living,Home & Living,,Home & Living
nuru massage singapore,nuru massage singapore,Health & Wellness,,,,Health & Wellness
timer switch,timer switch,Home Appliances,Home & Living,Home & Living,,Home Appliances
microwave steam oven,microwave steam oven,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
ding bakery,ding bakery,Food & Beverages,Home & Living,Food & Beverages,,Food & Beverages
dior earring,dior earring,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
hollister singapore,hollister singapore,Men's Wear,,Men's Wear,,Men's Wear
muji umbrella,muji umbrella,Home & Living,Home & Living,,,Home & Living
